Subcategory Name	Description
Clinical Pharmacist	Works directly with doctors and patients in a clinical setting to ensure safe and effective medication use.
Hospital Pharmacist	Manages, prepares, and dispenses medications in hospital pharmacies. Often works with inpatients.
Retail/Community Pharmacist	Dispenses medications in retail settings (e.g., local pharmacies) and advises patients on prescriptions and over-the-counter drugs.
Industrial Pharmacist	Works in pharmaceutical companies focusing on drug development, manufacturing, quality control, and regulatory compliance.
Regulatory Affairs Pharmacist	Ensures compliance with national and international regulations for drug approval and marketing.
Compounding Pharmacist	Prepares customized medications by mixing ingredients based on specific patient needs (e.g., for allergies, pediatric doses).
Oncology Pharmacist	Specializes in preparing and managing chemotherapy and cancer-related drugs.
Geriatric Pharmacist	Focuses on medication therapy for elderly patients, often addressing polypharmacy issues.
Pediatric Pharmacist	Specializes in medications and dosages appropriate for children and infants.
Ambulatory Care Pharmacist	Works in outpatient settings, managing chronic conditions and long-term medications.
Nuclear Pharmacist	Prepares and dispenses radiopharmaceuticals used in nuclear medicine (e.g., for imaging or treatment).
Infectious Disease Pharmacist	Specializes in antimicrobial stewardship and managing medications for infections.
Pharmacovigilance Pharmacist	Monitors and evaluates adverse drug reactions and ensures post-marketing safety of drugs.
Academic/Research Pharmacist	Works in universities or research institutions teaching pharmacy students or conducting research.
Home Health Pharmacist	Provides pharmaceutical care to patients in their homes, often managing IV medications or long-term therapies.
Military Pharmacist	Serves in armed forces providing pharmaceutical care to military personnel.
Cardiology Pharmacist	Specializes in drugs used for heart conditions like hypertension, heart failure, etc.
Psychiatric Pharmacist	Manages medications used for mental health and behavioral conditions.
Emergency Medicine Pharmacist	Supports emergency departments in managing urgent medication needs and protocols.
Telepharmacist	Provides remote consultation, prescription verification, and patient counseling via telemedicine platforms.
