Subcategory Name	Description
Emergency Medical Technician (EMT)	Entry-level responder trained in basic life support (BLS), first aid, and emergency care.
Advanced EMT (AEMT)	Mid-level paramedic with advanced skills like IV therapy, airway management, and medication administration.
Critical Care Paramedic	Specializes in transporting critically ill patients; trained in ventilators, infusion pumps, and advanced monitoring.
Flight Paramedic	Provides emergency care during air transport (helicopters or planes), often in critical conditions.
Tactical Paramedic	Works with law enforcement or military units during high-risk operations and disasters.
Community Paramedic	Provides non-emergency care in home visits, chronic disease monitoring, and preventive services.
Rescue Paramedic	Trained in high-angle rescue, water rescue, confined space rescue, or wilderness EMS.
Industrial/Occupational Paramedic	Works on job sites (e.g., oil rigs, factories, mines) providing emergency care to employees.
Firefighter Paramedic	Dual-trained in firefighting and emergency medical response. Common in municipal emergency services.
Event Paramedic	Provides on-site medical coverage at large events like sports, concerts, or festivals.
Pediatric Paramedic	Specializes in pre-hospital emergency care for infants and children.
Geriatric Paramedic	Focuses on emergency care for elderly patients, often involving chronic and age-related conditions.
Ambulance Paramedic	General paramedic who works in ground ambulance services providing front-line emergency care.
Disaster Response Paramedic	Responds to mass casualty incidents, natural disasters, or humanitarian emergencies.
Remote Area Paramedic	Works in remote or rural regions with limited access to hospitals; may operate independently.
Paramedic Instructor	Trains EMTs and paramedics in educational or training institutions.
Telemedicine Paramedic	Supports virtual triage or remote patient care via telehealth platforms.
Sports Paramedic	Provides first response for athletes and sports injuries during games or training.
