Subcategory Name	Description
Medical Aesthetician	Works under a dermatologist or plastic surgeon; provides advanced skin treatments like chemical peels, laser therapy, microneedling, and post-surgical care.
Clinical Aesthetician	Similar to medical aestheticians but often focused more on skin conditions like acne, rosacea, or pigmentation using clinical-grade products and devices.
Spa Aesthetician	Performs relaxing, non-medical skin treatments such as facials, massages, and body treatments in spa environments.
Laser Technician	Specializes in laser-based treatments like laser hair removal, skin resurfacing, tattoo removal, and pigmentation correction.
Paramedical Aesthetician	Trained to assist in recovery after medical procedures such as plastic surgery, burns, or trauma—often overlaps with medical aesthetics.
Oncology Aesthetician	Provides safe, gentle skincare services to individuals undergoing cancer treatments, helping to soothe side effects like dryness or sensitivity.
Acne Specialist	Focuses on managing and treating various types of acne with customized facial protocols and treatments.
Anti-Aging Aesthetician	Specializes in treatments to reduce signs of aging, including wrinkle reduction, tightening, and collagen-boosting therapies.
Cosmetic Tattoo Technician	Performs permanent makeup procedures such as microblading, lip tinting, and eyeliner tattooing.
Chemical Peel Specialist	Trained to perform different types of chemical peels for exfoliation, pigmentation issues, or acne scars.
Microneedling Specialist	Performs microneedling procedures (collagen induction therapy) to improve skin texture, reduce scars, and promote regeneration.
Hydrafacial Specialist	Offers Hydrafacial treatments involving deep cleansing, exfoliation, hydration, and antioxidant infusion.
Body Contouring Specialist	Provides non-invasive body sculpting treatments like cryolipolysis (CoolSculpting), radiofrequency, or cavitation.
Eyebrow & Eyelash Technician	Specializes in brow shaping, tinting, lamination, and eyelash extensions/lifts.
Waxing / Hair Removal Specialist	Focuses on full-body waxing, sugaring, or threading for hair removal.
Makeup Artist (Certified Aesthetician)	Offers professional makeup services for events, weddings, or corrective makeup applications.
Dermaplaning Specialist	Provides dermaplaning services to exfoliate skin and remove vellus hair ("peach fuzz").
Aesthetic Trainer / Educator	Trains other professionals in aesthetic procedures, skincare product use, and equipment handling.
Natural / Organic Aesthetician	Uses plant-based, chemical-free products and holistic skincare techniques.
