Subcategory Name	Description
Orthopedic Physiotherapist	Treats musculoskeletal issues like fractures, arthritis, joint replacements, back and neck pain.
Neurological Physiotherapist	Focuses on patients with neurological disorders such as stroke, spinal cord injuries, Parkinson’s, and multiple sclerosis.
Cardiopulmonary Physiotherapist	Works with patients who have heart or lung conditions (e.g., COPD, post-cardiac surgery).
Pediatric Physiotherapist	Specializes in treating infants, children, and adolescents with developmental, neuromuscular, or orthopedic conditions.
Geriatric Physiotherapist	Focuses on mobility, balance, and fall prevention in elderly patients, often dealing with arthritis, osteoporosis, and age-related decline.
Sports Physiotherapist	Prevents and treats sports injuries, improves athletic performance, and assists in rehabilitation of athletes.
Women’s Health Physiotherapist	Deals with female-specific conditions like prenatal/postnatal care, pelvic floor dysfunction, and incontinence.
Vestibular Physiotherapist	Treats balance disorders, dizziness, and vertigo caused by inner ear problems.
Rehabilitation Physiotherapist	Provides recovery therapy post-surgery, injury, or chronic illness (can be multi-disciplinary).
ICU/Respiratory Physiotherapist	Works in intensive care units focusing on chest physiotherapy, breathing techniques, and early mobility.
Occupational Health Physiotherapist	Prevents and manages workplace injuries; provides ergonomic advice and return-to-work programs.
Manual Therapy Specialist	Focuses on hands-on techniques like joint mobilization and soft tissue manipulation.
Community Physiotherapist	Provides physiotherapy services in home or community settings, especially for long-term or disabled patients.
Aquatic Physiotherapist	Uses water-based exercises and hydrotherapy for rehabilitation and mobility improvement.
Pain Management Physiotherapist	Specializes in chronic pain treatment using physical modalities, movement therapy, and patient education.
Pelvic Health Physiotherapist	Focuses on treating pelvic floor dysfunction in men and women, including incontinence and pelvic pain.
Amputee Physiotherapist	Assists in rehab and mobility training for individuals with limb loss, including prosthetic training.
Burn Rehabilitation Physiotherapist	Works with burn patients to maintain mobility, reduce contractures, and promote healing.
Spinal Physiotherapist	Specializes in treating spinal conditions like scoliosis, herniated discs, and spinal injuries.
Hand Therapist	Focuses on rehabilitation of hand, wrist, and forearm conditions or post-surgical recovery.
